"word1","word2","word3","freq"
"g","fat","g",3
"g","saturated","mg",3
"george","w","bushs",3
"gov","john","kasich",3
"hasnt","gotten","much",3
"health","human","services",3
"hope","everyone","great",3
"human","variable","region",3
"ignore","bulls","bible",3
"im","years","old",3
"just","dont","think",3
"just","feel","like",3
"keep","good","work",3
"know","im","going",3
"last","time","saw",3
"life","little","bit",3
"linking","amazoncom","amazonca",3
"llc","amazon","eu",3
"llc","andor","amazon",3
"long","time","coming",3
"m","m","m",3
"means","sites","earn",3
"mg","cholesterol","mg",3
"mothers","day","gift",3
"mouse","variable","region",3
"much","better","now",3
"new","years","eve",3
"occupy","wall","street",3
"p","daily","record",3
"participant","amazon","services",3
"per","person","plus",3
"play","every","day",3
"programmes","designed","provide",3
"provide","means","sites",3
"provided","“","”",3
"rabble","rabble","rabble",3
"record","pp","e-e",3
"record","vol","p",3
"right","around","corner",3
"round","nfl","draft",3
"said","“","don’t",3
"said","last","week",3
"salt","pepper","taste",3
"san","diego","state",3
"saturated","mg","cholesterol",3
"sc","next","sc",3
"season","salt","pepper",3
"services","llc","amazon",3
"services","llc","andor",3
"sites","earn","advertising",3
"skillet","medium","heat",3
"sometimes","feel","like",3
"spend","much","time",3
"subject","change","removal",3
"thank","u","much",3
"thats","good","thing",3
"three","four","years",3
"three","times","week",3
"two","free","throws",3
"unified","school","district",3
"us","district","court",3
"us","state","department",3
"us","supreme","court",3
"vol","p","daily",3
"wanted","try","something",3
"website","comes","amazon",3
"will","live","life",3
"will","never","get",3
"will","see","can",3
"will","take","place",3
"without","nay","dont",3
"--","sf","br",2
"-","bile","-",2
"-","minutes","side",2
"-","point","guard",2
"-","totals","-",2
"-","years","ago",2
"-sex","households","percent",2
"’d","like","stand",2
"’m","normally","one",2
"’m","sure","’ll",2
"’s","almost","impossible",2
"’s","fair","say",2
"’s","nice","still",2
"’s","really","important",2
"’ve","never","seen",2
"“","can","get",2
"“","didn’t","know",2
"“","get","”",2
"“","said","”",2
"add","lime","juice",2
"add","mrentertainment","add",2
"advantage","smart","meter",2
"afghan","president","hamid",2
"afternoon","trading","wednesday",2
"agrarian","reform","law",2
"al’s","wife","becky",2
"alaskan","smoked","porter",2
"almost","certainly","will",2
"almost","years","ago",2
"along","parade","route",2
"already","know","know",2
"already","looking","forward",2
"also","first","book",2
"also","strong","supporter",2
"always","going","location",2
"annual","easter","egg",2
"another","big","leap",2
"area","fell","love",2
"arizona","passed","law",2
"arizonas","immigration","law",2
"arizonas","new","immigration",2
"around","every","corner",2
"arrest","placed","wing",2
"asking","voters","approve",2
"assistant","us","attorney",2
"associated","press","writer",2
"athletic","director","rob",2
"attendants","ground","workers",2
"attorney","general’s","office",2
"attorney","generals","office",2
"avenue","n","although",2
"average","unemployment","rate",2
"b","b","b",2
"back","cali","back",2
"bake","-","minutes",2
"baking","powder","salt",2
"baking","soda","baking",2
"balked","wednesday","deal",2
"band","director","julian",2
"barrels","trench","vapor-extraction",2
"bay","area","march",2
"beach","beach","beach",2
"beachbody","coach","yet",2
"beer","wine","list",2
"believe","young","white",2
"best","defensive","player",2
"best","thing","ever",2
"best","way","get",2
"bin","ladens","death",2
"black","eyed","peas",2
"board","members","staff",2
"body","uses","protein",2
"boldly","fled","house",2
"books","ive","read",2
"born","new","york",2
"boston","red","sox",2
"breast","cancer","surgeon",2
"breast","surgery","program",2
"bring","water","boil",2
"broken","don’t","fix",2
"brother","named","first-born",2
"business","network","international",2
"buttons","appletons","shirt",2
"buy","health","insurance",2
"buying","seasonal","item",2
"cali","back","cali",2
"calibre","remote","control",2
"californias","high","cost",2
"calories","g","protein",2
"can","agree","one",2
"can","anyone","recommend",2
"can","get","away",2
"can","get","thing",2
"can","keep","safe",2
"can","mean","one",2
"can","please","follow",2
"can","really","make",2
"can","see","just",2
"can","used","make",2
"can","yes","can",2
"cant","even","tell",2
"cant","get","better",2
"cant","help","feel",2
